aika,arvo
2018-04-10 07:31:33,98.2
2018-04-10 07:32:34,99.5
2018-04-10 07:33:35,101.1
2018-04-10 07:34:35,98.2
2018-04-10 07:35:36,100.7
2018-04-10 07:36:37,98.5
2018-04-10 07:37:37,98.7
2018-04-10 07:38:37,99.5
2018-04-10 07:39:38,98.7
2018-04-10 07:40:39,97.6
2018-04-10 07:41:39,96.8
2018-04-10 07:42:39,98.9
2018-04-10 07:43:39,97.8
2018-04-10 07:44:40,98.6
2018-04-10 07:45:40,99.1
2018-04-10 07:46:41,95.9
2018-04-10 07:47:41,98
2018-04-10 07:48:41,99.4
2018-04-10 07:49:41,96.8
2018-04-10 07:50:42,95.3
2018-04-10 07:51:42,94.9
2018-04-10 07:52:42,97.3
2018-04-10 07:53:43,97.2
2018-04-10 07:54:43,95
2018-04-10 07:55:44,96.6
2018-04-10 07:56:44,95.8
2018-04-10 07:57:44,96
2018-04-10 07:58:44,95.6
2018-04-10 07:59:45,93.3
2018-04-10 08:00:45,90.7
2018-04-10 08:01:46,94.1
2018-04-10 08:02:46,94.1
2018-04-10 08:03:46,94.5
2018-04-10 08:04:47,93.1
2018-04-10 08:05:47,95.4
2018-04-10 08:06:47,93.6
2018-04-10 08:07:47,95.4
2018-04-10 08:08:48,92.2
2018-04-10 08:09:48,93.4
2018-04-10 08:10:49,95.5
2018-04-10 08:11:49,93.5
2018-04-10 08:12:50,91.6
2018-04-10 08:13:50,95.4
2018-04-10 08:14:50,92.4
2018-04-10 08:15:50,93
2018-04-10 08:16:51,92.9
2018-04-10 08:17:52,91.8
2018-04-10 08:18:52,89.7
2018-04-10 08:19:53,92.1
2018-04-10 08:20:53,92.7
2018-04-10 08:21:53,92.2
2018-04-10 08:22:53,92.2
2018-04-10 08:23:55,91.1
2018-04-10 08:24:55,93.2
2018-04-10 08:25:55,92.1
2018-04-10 08:26:55,90.3
2018-04-10 08:27:56,89.6
2018-04-10 08:28:56,90.9
2018-04-10 08:29:56,90.3
2018-04-10 08:30:56,89.8
2018-04-10 08:31:57,89
2018-04-10 08:32:58,88.4
2018-04-10 08:33:58,88
2018-04-10 08:34:58,86.8
2018-04-10 08:35:58,93.7
2018-04-10 08:36:59,91.4
2018-04-10 08:37:59,91.5
2018-04-10 08:39:00,89.6
2018-04-10 08:40:01,88.6
2018-04-10 08:41:01,90.4
2018-04-10 08:42:01,88.5
2018-04-10 08:43:01,88.3
2018-04-10 08:44:02,89.7
2018-04-10 08:45:02,87
2018-04-10 08:46:02,88.6
2018-04-10 08:47:02,87.3
2018-04-10 08:48:03,87.8
2018-04-10 08:49:04,87.3
2018-04-10 08:50:04,89.4
2018-04-10 08:51:04,87.8
2018-04-10 08:52:04,88.2
2018-04-10 08:53:05,87.3
2018-04-10 08:54:05,85.4
2018-04-10 08:55:06,86.4
2018-04-10 08:56:06,88.7
2018-04-10 08:57:06,84.9
2018-04-10 08:58:06,86.2
2018-04-10 08:59:07,84.9
2018-04-10 09:00:08,84.8
2018-04-10 09:01:08,83.5
2018-04-10 09:02:08,87.2
2018-04-10 09:03:09,86.2
2018-04-10 09:04:09,85.2
2018-04-10 09:05:09,84.6
2018-04-10 09:06:10,82.7
2018-04-10 09:07:10,85.7
2018-04-10 09:08:10,83
2018-04-10 09:09:10,86
2018-04-10 09:10:11,85.7
2018-04-10 09:11:11,82.6
2018-04-10 09:12:11,104.5
2018-04-10 09:13:12,101.3
2018-04-10 09:14:12,104.7
2018-04-10 09:15:14,104.8
2018-04-10 09:16:14,102.2
2018-04-10 09:17:14,102.9
2018-04-10 09:18:14,105.3
2018-04-10 09:19:15,102.3
2018-04-10 09:20:15,103.4
2018-04-10 09:21:15,100.4
2018-04-10 09:22:16,101.9
2018-04-10 09:23:16,102.3
2018-04-10 09:24:17,101.2
2018-04-10 09:25:17,103.6
2018-04-10 09:26:18,100.8
2018-04-10 09:27:18,101.5
2018-04-10 09:28:18,102.3
2018-04-10 09:29:19,103.8
2018-04-10 09:30:19,100.9
2018-04-10 09:31:20,101.9
2018-04-10 09:32:20,101.6
2018-04-10 09:33:20,100.5
2018-04-10 09:34:20,102.2
2018-04-10 09:35:21,99.9
2018-04-10 09:36:21,101.5
2018-04-10 09:37:21,102
2018-04-10 09:38:22,98.2
2018-04-10 09:39:22,100.4
2018-04-10 09:40:22,99.7
2018-04-10 09:41:22,97.4
2018-04-10 09:42:23,98.7
2018-04-10 09:43:24,98.4
2018-04-10 09:44:24,97.3
2018-04-10 09:45:24,99
2018-04-10 09:46:25,99
2018-04-10 09:47:25,100.3
2018-04-10 09:48:26,99.5
2018-04-10 09:49:26,102.5
2018-04-10 09:50:26,97.5
2018-04-10 09:51:27,95.4
2018-04-10 09:52:27,98.3
2018-04-10 09:53:27,97.2
2018-04-10 09:54:28,96.3
2018-04-10 09:55:28,96.5
2018-04-10 09:56:28,96.5
2018-04-10 09:57:29,97.8
